domain,"in_TI_URLhaus"
"117.235.108.144:48065",true
"123.5.8.254:55910",true
"115.50.205.154:33590",true
"be.vxof.ru",true
"qk2.ja-02.ru",true
"b2.k987.ru",true
"182.113.226.132:47218",true
"42.231.206.203:45436",true
"59.88.252.172:50008",true
"175.31.246.254:35526",true
"61.137.195.30:50588",true
"119.185.243.73:45924",true
"123.8.57.84:42290",true
"182.117.149.107:57933",true
"x.k987.ru",true
"vh.vwof.ru",true
"110.37.91.7:52684",true
"42.86.67.38:49606",true
"45.135.194.7",true
"u5.ja-02.ru",true
"165.101.92.64",true
"74.194.191.52",true
"e1.s951.ru",true
"pn.vwof.ru",true
"200.59.88.37:44786",true
"168.197.157.221:39343",true
"61.52.158.73:59538",true
"qk2.s951.ru",true
"qc.vwof.ru",true
"r.ja-02.ru",true
"42.230.46.249:56955",true
"190.109.227.53:41452",true
"124.128.178.200:33447",true
"61.53.118.93:52980",true
"113.236.68.192:53053",true
"172.86.66.203",true
"16.170.229.86",true
"111.68.6.102",true
"160.250.134.61",true
"182.112.31.52:46710",true
"k7.me-71.ru",true
"u.vjef.ru",true
"aa9.me-71.ru",true
"nq.vjef.ru",true
"112.238.111.44:56973",true
"42.178.157.234:50881",true
"61.53.126.138:60787",true
"200.59.86.78:40988",true
"27.37.125.171:38363",true
"v2.me-71.ru",true
"oi.vgof.ru",true
"r.s951.ru",true
"rh.vgof.ru",true
"g.me-71.ru",true
"182.117.76.202:40611",true
"117.248.25.153:42305",true
"115.59.229.138:56325",true
"115.54.6.157:39078",true
"182.122.144.174:43663",true
"q.ny-54.ru",true
"cg.vgof.ru",true
"aa9.q277.ru",true
"61.52.177.121:44991",true
"v2.q277.ru",true
"fb.vbof.ru",true
"61.52.58.243:45032",true
"120.61.203.82:37866",true
"kp.vbof.ru",true
"bt7.ny-54.ru",true
"117.248.25.230:32836",true
"42.53.2.51:50611",true
"byzentium.com",true
"80.253.249.186:5504",true
"185.219.7.138:8080",true
"metalrico.com.br",true
"wlnrar.shop",true
"178.16.54.200",true
"200.59.88.198:39499",true
"rd.vbof.ru",true
"m3.ny-54.ru",true
"196.251.85.246",true
"115.57.34.164:36707",true
"124.131.144.223:58499",true
"182.124.140.64:41668",true
"120.57.116.49:46763",true
"112.248.82.129:49526",true
"200.59.88.92:39289",true
"123.4.199.123:46015",true
"200.59.88.54:37961",true
"95.15.47.43:33907",true
"182.126.95.208:54965",true
"182.113.37.51:43042",true
"221.15.7.55:45372",true
"27.215.213.253:48025",true
"119.189.158.12:49188",true
"rj.ttif.ru",true
"z.ny-54.ru",true
"zo.ttif.ru",true
"123.8.52.157:57975",true
"yg.sjoh.ru",true
"219.157.29.154:52497",true
"147.45.125.103",true
"42.232.81.31:50089",true
"cdn.riskless.id",true
"123.129.128.248:44403",true
"l.by-64.ru",true
"xp.sjef.ru",true
"z.s167.ru",true
"bc.pxys.ru",true
"d.xe-96.ru",true
"ov.pxys.ru",true
"pt.pqix.ru",true
"42.87.175.27:41810",true
"l.c267.ru",true
"of.nxys.ru",true
"123.13.83.88:45113",true
"125.45.64.128:40069",true
"115.57.247.131:55603",true
"120.28.222.114:39201",true
"am.nwyk.ru",true
"k.ve-27.ru",true
"123.129.131.112:57473",true
"61.53.84.226:42553",true
"d.k645.ru",true
"ki.nd-ox.ru",true
"182.127.178.243:52927",true
"123.11.77.193:40787",true
"115.50.218.225:59276",true
"39.74.105.247:49725",true
"125.41.4.53:52600",true
"157.18.175.221:50549",true
"42.176.243.8:43844",true
"k.n791.ru",true
"q.mwop.ru",true
"123.10.233.147:48872",true
"42.227.137.124:44442",true
"115.59.30.10:56371",true
"103.118.28.144",true
"c5.3i6i4.ru",true
"qg.mjef.ru",true
"l.3i6i4.ru",true
"sd.mjef.ru",true
"qy6.5u0i4.ru",true
"um.mjef.ru",true
"123.9.41.115:47570",true
"u1.5u0i4.ru",true
"pf.ljat.ru",true
"61.52.35.252:48021",true
"154.253.120.20:39735",true
"219.157.24.10:51898",true
"h.5u0i4.ru",true
"p.ljat.ru",true
"61.53.75.80:49498",true
"pm7.5i4u8.ru",true
"lq.ljat.ru",true
"175.146.214.48:46476",true
"182.113.33.134:35372",true
"113.231.212.12:35637",true
"200.59.88.36:40988",true
"si.ljat.ru",true
"113.237.104.22:37276",true
"61.52.110.232:36405",true
"115.55.234.13:44194",true
"42.234.70.153:39722",true
"125.40.121.247:44705",true
"219.156.77.160:39957",true
"115.59.238.55:51453",true
"222.138.124.52:33050",true
"39.79.194.92:48267",true
"w4.5i4u8.ru",true
"od.jzak.ru",true
"115.50.42.122:50566",true
"d.5i4u8.ru",true
"xt.jzak.ru",true
"42.58.20.136:40356",true
"200.59.88.14:56754",true
"200.59.88.235:33072",true
"78.163.9.162:56059",true
"173.63.31.85:44413",true
"115.57.187.123:57127",true
"222.137.157.234:57337",true
"110.38.206.39:60901",true
"124.133.175.107:53347",true
"182.117.71.55:51590",true
"175.168.220.100:39262",true
"219.156.92.73:54353",true
"115.56.67.155:59210",true
"174.163.48.188:41618",true
"120.28.163.158:55573",true
"42.224.24.121:36937",true
"85.105.76.45:56900",true
"95.12.14.213:36882",true
"125.47.35.106:37134",true
"39.73.109.77:32842",true
"117.245.6.43:52832",true
"rq8.7i7y5.ru",true
"bj.jzak.ru",true
"182.127.69.222:56745",true
"42.230.17.76:56832",true
"110.39.224.42:48562",true
"175.151.233.9:47982",true
"116.90.238.100:51338",true
"115.55.62.97:58388",true
"200.59.85.99:45483",true
"110.37.102.3:38217",true
"200.59.88.128:39791",true
"115.57.244.96:57411",true
"115.50.60.88:45646",true
"b2.7i7y5.ru",true
"iu.ht-if.ru",true
"182.112.109.204:40823",true
"z.7i7y5.ru",true
"an.ht-if.ru",true
"222.127.227.201:55113",true
"61.54.71.83:58405",true
"42.225.219.246:45991",true
"115.55.59.177:47992",true
"xq9.0e0y6.ru",true
"tk.ht-if.ru",true
"42.229.151.144:36852",true
"42.56.0.235:48885",true
"t3.0e0y6.ru",true
"182.123.235.95:56300",true
"pl.ht-if.ru",true
"219.157.55.250:59002",true
"123.9.241.66:37059",true
"222.137.113.166:43948",true
"sp.htif.ru",true
"123.8.180.242:57416",true
"59.96.141.159:43933",true
"42.55.47.250:54104",true
"a.0e0y6.ru",true
"le.htif.ru",true
"c5.c-080.ru",true
"dm.htif.ru",true
"112.242.2.136:35773",true
"36.163.57.158:55622",true
"ve.htif.ru",true
"113.238.15.184:59041",true
"202.169.234.56:39181",true
"123.188.94.35:42482",true
"115.50.31.103:41789",true
"27.213.123.213:56236",true
"87.248.150.68:85",true
"182.121.189.81:58734",true
"61.53.193.163:50871",true
"ff.gwut.ru",true
"42.226.67.192:37992",true
"222.137.144.5:34134",true
"w4.h-214.ru",true
"221.1.224.168:36726",true
"rk8.q-083.ru",true
"r.gwut.ru",true
"42.58.118.86:58667",true
"d.h-214.ru",true
"60.18.108.160:36428",true
"kz.gwut.ru",true
"125.41.92.127:39955",true
"115.57.116.167:52618",true
