ID,action,status
0,unknown,"Unknown status (not yet known)"
1,blocked,"Domain contained in gravity database"
2,allowed,Forwarded
3,allowed,"Replied from cache"
4,blocked,"Domain matched by a regex denylist filter"
5,blocked,"Domain contained in exact denylist"
6,blocked,"By upstream server (known blocking page IP address)"
7,blocked,"By upstream server (0.0.0.0 or ::)"
8,blocked,"By upstream server (NXDOMAIN with RA bit unset)"
9,blocked,"Domain contained in gravity database (Blocked during deep CNAME inspection)"
10,blocked,"Domain matched by a regex denylist filter (Blocked during deep CNAME inspection)"
11,blocked,"Domain contained in exact denylist (Blocked during deep CNAME inspection)"
12,allowed,"Retried query"
13,allowed,"Retried but ignored query (during ongoing DNSSEC validation)"
14,allowed,"Already forwarded; not forwarding again"
15,blocked,"Blocked (database is busy)"
16,blocked,"Blocked (special domain; e.g. Mozilla canary / Apple Private Relay)"
17,allowed,"Replied from stale cache"
18,blocked,"By upstream server (EDE 15)"
